query,date_checked,search_context,observed_result_url,domain,observed_title_or_h1,page_type,publisher_class,exact_intent_match,kensington_specific,content_depth_visible,freshness_visible,faq_visible,images_or_diagrams_visible,strong_cta_visible,local_trust_claims_visible,structured_data_detectable,intent_match_quality_1_5,usefulness_1_5,commercial_strength_1_5,evidence_status,notes
water leak Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://emergencyplumb.co.uk/london/emergency/ceiling-leak/,emergencyplumb.co.uk,"Ceiling Leak",service_page,independent_london_brand,partial,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,4,UNAVAILABLE,5,DIRECTIONAL,"Symptom/service overlap appears; existing leak and ceiling pages should remain differentiated."
burst pipe Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.fastfixlondon.com/services/emergency-plumbing/kensington,fastfixlondon.com,"Emergency Plumbing Kensington",location_page,independent_london_brand,partial,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,4,UNAVAILABLE,5,DIRECTIONAL,"Burst-pipe phrasing was absorbed by urgent generalist competitor pages."
pipe repair Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingkensington.co.uk/,plumbingkensington.co.uk,"Plumber Kensington",homepage,local_independent,partial,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,3,UNAVAILABLE,5,DIRECTIONAL,"No dedicated pipe-repair evidence retained from this pass; candidate remains GSC-gated."
blocked toilet Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.yell.com/s/emergency%2Bplumbers-kensington-west%2Blondon.html,yell.com,"Emergency Plumbers near Kensington, West London",directory,directory,partial,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,3,3,5,DIRECTIONAL,"Directory-heavy local result context."
blocked toilet Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/Search/Emergency-Plumber-Service/in/Kensington,checkatrade.com,"Emergency Plumber Service in Kensington",directory,directory,partial,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,3,3,5,DIRECTIONAL,"No stable position claimed; urgent directory appears relevant to the route."
toilet repair Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.kensingtonplumber.co.uk/,kensingtonplumber.co.uk,"Plumber Kensington",homepage,local_independent,partial,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,3,3,5,DIRECTIONAL,"Broad local services rather than a dedicated cistern/flush page were observed."
tap repair Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://renoplumb.co.uk/services/tap-repair,renoplumb.co.uk,"Tap Repair London — Leaking & Dripping Taps Fixed",service_page,independent_london_brand,partial,no,long,UNAVAILABLE,yes,UNAVAILABLE,yes,yes,UNAVAILABLE,5,4,5,VERIFIED,"Directly inspected symptom-led tap repair page with FAQ and contact CTA."
shower repair Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.kensingtonplumber.co.uk/,kensingtonplumber.co.uk,"Plumber Kensington",homepage,local_independent,partial,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,3,3,5,DIRECTIONAL,"Observed broad local competitor, not a separate shower-only proof."
bathroom plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumblondon.com/plumber/kensington/,plumblondon.com,"Local Plumber in Kensington",location_page,independent_london_brand,partial,yes,long,UNAVAILABLE,yes,yes,yes,yes,UNAVAILABLE,3,4,5,VERIFIED,"Room-level needs are folded into generalist local service pages."
toilet won't flush,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.screwfix.com/guides/bathrooms-kitchens/toilet/toilet-wont-flush,screwfix.com,"Toilet Won't Flush",retailer_guide,national_brand,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,2,DIRECTIONAL,"Informational/DIY and retailer guidance dominates unqualified symptom intent."
toilet won't flush,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingadvice.co.uk/guides/toilets/toilet-running-continuously,plumbingadvice.co.uk,"Toilet Running Continuously",problem_guide,specialist_publisher,partial,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,no,UNAVAILABLE,4,UNAVAILABLE,1,DIRECTIONAL,"Related plumbing-guide intent observed; direct page inspection was unavailable."
toilet keeps running,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.crosswater.co.uk/faqs/troubleshooting/how-to-fix-a-toilet-that-keeps-running-or-filling-after-flushing,crosswater.co.uk,"How to fix a toilet that keeps running or filling after flushing",retailer_guide,national_brand,yes,no,moderate,UNAVAILABLE,yes,yes,yes,no,UNAVAILABLE,5,4,2,DIRECTIONAL,"SERP leaders commonly use a symptom-plus-cause/FAQ format."
toilet keeps running,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.trustedplumberlondon.co.uk/blog/toilet-running-constantly-london/,trustedplumberlondon.co.uk,"Toilet Running Constantly London",problem_guide,independent_london_brand,yes,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,4,DIRECTIONAL,"London provider guide observed; page content was not fully available for inspection."
cistern not filling,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.homeserve.co.uk/insurance-cover/plumbing-and-drainage-comparison/plumbing-advice/toilet-cistern-not-filling/,homeserve.co.uk,"Toilet cistern not filling",problem_guide,national_brand,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,3,DIRECTIONAL,"Dedicated national advice page is evidence of distinct user wording, not demand volume."
cistern not filling,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.trustedplumberlondon.co.uk/blog/toilet-cistern-problems-london/,trustedplumberlondon.co.uk,"Toilet Cistern Problems London",problem_guide,independent_london_brand,partial,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,4,UNAVAILABLE,4,DIRECTIONAL,"Cistern-specific provider content reinforces a monitor-first candidate."
toilet water rising when flushed,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://prodrainage.co.uk/blog/why-does-my-toilet-water-rise-when-i-flush/,prodrainage.co.uk,"Why does my toilet water rise when I flush?",problem_guide,independent_specialist,yes,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,4,DIRECTIONAL,"Highly aligned with existing blocked-toilet owner; no additional URL recommended."
water coming through ceiling,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/blog/expert-advice/water-leaking-from-ceiling/,checkatrade.com,"Water leaking from ceiling",problem_guide,directory_publisher,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,3,DIRECTIONAL,"Safety/problem guides and images were visible in the researched result set."
water coming through ceiling,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingadvice.co.uk/guides/leaks/water-leak-in-ceiling,plumbingadvice.co.uk,"Water leak in ceiling",problem_guide,specialist_publisher,yes,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,no,UNAVAILABLE,5,UNAVAILABLE,1,DIRECTIONAL,"Direct page inspection unavailable; retained only as observed competitor result."
ceiling leak,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.mybuilder.com/plumbing/articles/water-leak-from-ceiling-guide,mybuilder.com,"Water leak from ceiling guide",problem_guide,directory_publisher,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,3,DIRECTIONAL,"Question/safety layout is common; no need for a third ceiling route."
overflow pipe leaking,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.screwfix.com/guides/heating-plumbing/plumbing-pipework/overflow-pipe-leaking,screwfix.com,"Overflow pipe leaking",retailer_guide,national_brand,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,2,DIRECTIONAL,"Dedicated information page observed; boiler/tank/cistern ambiguity needs strict future scope control."
overflow pipe leaking,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://londonleakspecialist.co.uk/blog/overflow-pipe-dripping-outside-what-it-means,londonleakspecialist.co.uk,"Overflow Pipe Dripping Outside: What It Means",problem_guide,independent_london_brand,yes,no,long,"2026-07-05",yes,yes,yes,yes,UNAVAILABLE,5,4,4,VERIFIED,"Direct inspection found an 11-minute guide, location-to-source table, FAQs, image and related routes."
water leak under sink,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.mybuilder.com/plumbing/articles/water-leak-from-ceiling-guide,mybuilder.com,"Water leak from ceiling guide",problem_guide,directory_publisher,partial,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,2,4,3,DIRECTIONAL,"No clearly dedicated under-sink result retained; treat as leak-repair supporting term."
flexi hose leaking,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingadvice.co.uk/guides/leaks/water-leak-in-ceiling,plumbingadvice.co.uk,"Water leak in ceiling",problem_guide,specialist_publisher,partial,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,no,UNAVAILABLE,2,UNAVAILABLE,1,DIRECTIONAL,"No distinct commercial page evidence retained; glossary plus leak route is enough."
tap leaking from base,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/blog/expert-advice/tap-problems/,checkatrade.com,"Fixing common tap problems – what’s wrong and when to call a plumber",problem_guide,directory_publisher,partial,no,long,"2026-03",yes,yes,yes,no,UNAVAILABLE,4,4,3,VERIFIED,"Inspected page has dated guide, contents/navigation, symptom sections, images and FAQ pattern."
tap hard to turn,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.crosswater.co.uk/faqs/troubleshooting/what-should-i-do-if-my-tap-handle-is-stiff-or-won-t-turn,crosswater.co.uk,"What should I do if my tap handle is stiff or won't turn?",retailer_guide,national_brand,yes,no,short,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,no,UNAVAILABLE,5,3,2,DIRECTIONAL,"Narrow symptom guide observed; insufficient evidence for a standalone local page."
tap won't turn off,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://renoplumb.co.uk/services/tap-repair,renoplumb.co.uk,"Tap Repair London — Leaking & Dripping Taps Fixed",service_page,independent_london_brand,partial,no,long,UNAVAILABLE,yes,UNAVAILABLE,yes,yes,UNAVAILABLE,4,4,5,VERIFIED,"Service page groups stiff, leaking, noisy and poorly closing symptoms."
one tap low pressure,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.bristolwater.co.uk/faq-individual-7,bristolwater.co.uk,"Water pressure FAQ",utility_advice,utility_provider,partial,no,short,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,no,no,UNAVAILABLE,3,4,1,DIRECTIONAL,"Utility/advice context reinforces cautious wording; do not claim broad pressure diagnosis."
shower going hot and cold,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingadvice.co.uk/guides/showers/mixer-shower-hot-cold-fluctuating,plumbingadvice.co.uk,"Mixer shower hot and cold fluctuating",problem_guide,specialist_publisher,yes,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,no,UNAVAILABLE,5,UNAVAILABLE,1,DIRECTIONAL,"Dedicated problem wording observed, but heating/boiler causation remains out of scope."
shower leaking from tray,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.crosswater.co.uk/faqs/troubleshooting/my-shower-tray-is-leaking,crosswater.co.uk,"My shower tray is leaking",retailer_guide,national_brand,yes,no,short,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,no,UNAVAILABLE,5,3,2,DIRECTIONAL,"Specific symptom exists but remains subordinate to existing shower-repair page."
shower leaking from tray,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://devonleakdetection.co.uk/shower-tray-leaking-causes-and-what-to-do/,devonleakdetection.co.uk,"Shower tray leaking: causes and what to do",problem_guide,independent_specialist,yes,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,4,DIRECTIONAL,"Locality is not Kensington; useful only as an intent-pattern observation."
sink not draining,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.screwfix.com/guides/bathrooms-kitchens/bathrooms/bathroom-sink-not-draining,screwfix.com,"Bathroom sink not draining",retailer_guide,national_brand,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,2,DIRECTIONAL,"DIY/drainage content dominates; current scope should not imply drain-clearance capability."
what is a stopcock,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.screwfix.com/guides/heating-plumbing/plumbing-pipework/what-does-a-stopcock-look-like,screwfix.com,"What does a stopcock look like?",retailer_guide,national_brand,yes,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,1,DIRECTIONAL,"Glossary use only; cite a water-company or recognised official source in future factual expansion."
stopcock vs isolation valve,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.buildwiz.uk/knowledge/materials/plumbing/stop-valves,buildwiz.uk,"Stop valves",problem_guide,independent_publisher,partial,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,no,UNAVAILABLE,4,UNAVAILABLE,1,DIRECTIONAL,"Comparison intent supports one glossary definition, not a term page."
plumber cost London,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/blog/cost-guides/plumber-cost/,checkatrade.com,"Plumber costs in the UK: 2026 price guide",price_guide,directory_publisher,partial,no,long,"2026-06",yes,yes,yes,no,UNAVAILABLE,4,4,3,VERIFIED,"Research-only. Existing cost report captures publicly shown figures; do not publish a Kensington price page."
plumber call out charge,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.mybuilder.com/plumbing/price-guides/plumber-call-out-fee,mybuilder.com,"Plumber call-out fees",price_guide,directory_publisher,yes,no,long,"2025-12-23",UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,3,VERIFIED,"Research-only price intent; range/inclusion differences make public use unsafe."
blocked toilet cost,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/blog/cost-guides/cost-unblocking-toilet/,checkatrade.com,"Unblocking a toilet",price_guide,directory_publisher,yes,no,moderate,"2026-05",UNAVAILABLE,yes,yes,no,UNAVAILABLE,5,4,3,VERIFIED,"Research-only; no local quote or service promise is supported."
tap repair cost,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/Search/Tap-Repair/in/Greater-London,checkatrade.com,"Tap repair services in Greater London",directory,directory,partial,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,3,3,4,DIRECTIONAL,"Directional Greater London comparator only; it is not a Kensington rate."
plumber South Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.fastfixlondon.com/plumbing/south-kensington,fastfixlondon.com,"Plumbing South Kensington",location_page,independent_london_brand,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Distinct exact-area competitor page observed; coverage remains unconfirmed for this site."
plumber West Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.kensington.biz/,kensington.biz,"Local plumber in West Kensington, W14",homepage,local_independent,yes,yes,long,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,5,4,5,VERIFIED,"Directly inspected W14 competitor page with service cards, local wording and contact CTA."
plumber North Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.topcentralheating.co.uk/north-kensington/plumbing-heating/plumbers,topcentralheating.co.uk,"North Kensington Plumbers",location_page,independent_london_brand,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Exact-area competitor result observed; no coverage authorisation follows."
plumber Notting Hill,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingnottinghill.co.uk/,plumbingnottinghill.co.uk,"Plumber Notting Hill",homepage,local_independent,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Exact-area competing domain observed; page must not be treated as proof of this site's coverage."
plumber Holland Park,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/Search/Plumber/in/Notting-Hill,checkatrade.com,"Plumbers in Notting Hill",directory,directory,partial,no,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,3,3,5,DIRECTIONAL,"Directory-locality overlap in wider West London context; no separate page recommendation."
plumber Earl's Court,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.able-group.co.uk/plumbing/notting-hill/emergency-plumbing/,able-group.co.uk,"Emergency Plumbing Notting Hill",location_page,national_brand,partial,no,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,2,UNAVAILABLE,5,DIRECTIONAL,"Adjacent-area output shows geographic noise. Treat Earl's Court as research-only until a direct search record and coverage approval exist."
