cluster_id,query_family,representative_queries,canonical_owner,classification,decision,cannibalisation_guardrail,evidence_status
C11,toilet_repair,"toilet repair Kensington | toilet plumber Kensington | toilet leaking around base | toilet leaking from cistern",/services/toilet-repair,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Toilet repair owns cistern, flush and non-blockage toilet faults. Do not make a toilet-base page until it has separate evidence.",DIRECTIONAL
C12,running_toilet,"toilet keeps running | toilet constantly running | toilet keeps filling | water running into pan",/plumbing-problems/toilet-keeps-running,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Problem page owns the observable running-water phrase, routes to toilet repair, and must not drift into blocked-toilet language.",DIRECTIONAL
C13,cistern_not_filling,"cistern not filling | toilet cistern not filling | cistern filling slowly | toilet tank not filling",/plumbing-problems/cistern-not-filling,NEW_PAGE_CANDIDATE,BUILD_AFTER_GSC_DATA,"Distinct enough from a running cistern to monitor, but current toilet-repair page already addresses filling. Require a repeatable impression/query cluster before publishing.",DIRECTIONAL
C14,tap_repair,"tap repair Kensington | dripping tap Kensington | leaking tap Kensington | kitchen tap leaking | bathroom tap leaking",/services/tap-repair,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Tap repair owns a single-fitting fault. Keep whole-property supply/pressure problems out of this cluster.",DIRECTIONAL
C15,tap_symptoms,"tap leaking from base | tap leaking under sink | tap hard to turn | tap won't turn off | mixer tap leaking",/services/tap-repair,SUPPORTING_TERM_ONLY,MERGE_INTO_EXISTING,"Observed SERPs use these as sections within broad tap guides; they do not yet justify individual pages.",DIRECTIONAL
C16,one_tap_flow,"tap low flow | one tap low pressure",/services/tap-repair,SUPPORTING_TERM_ONLY,MERGE_INTO_EXISTING,"A one-tap symptom can be contextual tap-repair copy only. Avoid implying diagnosis of property-wide pressure or mains supply.",DIRECTIONAL
C17,broad_water_supply,"no water from tap | low water pressure | low water pressure bathroom | water pressure suddenly dropped",none,DO_NOT_TARGET,DO_NOT_BUILD,"Broad supply, heating-system and water-company responsibility ambiguity exceeds the confirmed service scope.",DIRECTIONAL
C18,shower_repair,"shower repair Kensington | shower plumber Kensington | shower leaking | shower control problem",/services/shower-repair,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Shower repair owns fixture-specific leaks, controls and drainage symptoms, not boiler/gas repair.",DIRECTIONAL
C19,shower_temperature,"shower going hot and cold | shower temperature fluctuating",/plumbing-problems/shower-going-hot-and-cold,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Problem page owns symptom-led temperature queries; retain safe plumbing-versus-heating wording without claiming boiler work.",DIRECTIONAL
C20,shower_flow_and_drainage,"shower low pressure | shower weak flow | shower drain slow | shower leaking from tray",/services/shower-repair,SUPPORTING_TERM_ONLY,MERGE_INTO_EXISTING,"These are sub-symptoms of shower repair. A tray-leak page may be reconsidered only if GSC shows distinct demand.",DIRECTIONAL
C21,bathroom_plumbing,"bathroom plumber Kensington | bathroom plumbing Kensington | bathroom leak | bath leaking | basin leaking",/services/bathroom-plumbing,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Room-level page owns multi-fixture/room context; route a specific shower or toilet fault to its narrower owner.",DIRECTIONAL
C22,sink_and_basin,"sink leaking underneath | basin draining slowly | sink not draining",/services/bathroom-plumbing,SUPPORTING_TERM_ONLY,MERGE_INTO_EXISTING,"Current scope can guide an enquiry about basin plumbing, but drainage-heavy DIY results do not establish a separate service claim.",DIRECTIONAL
C23,glossary_controls,"what is a stopcock | stopcock vs isolation valve | isolation valve",/plumbing-glossary,GLOSSARY_ONLY,MERGE_INTO_EXISTING,"Short plain-English definitions only; use authoritative water-company sources before factual expansion and avoid repair instructions.",DIRECTIONAL
C24,glossary_terms,"what is a cistern | toilet fill valve | waste pipe | soil pipe | trap | flexi hose | TRV",/plumbing-glossary,GLOSSARY_ONLY,MERGE_INTO_EXISTING,"Keep terms consolidated in the glossary and link to an existing relevant route; no term-page proliferation.",DIRECTIONAL
C25,enquiry_guidance,"how to describe plumbing problem | what details to send plumber",/plumbing-advice/what-details-to-send-for-a-plumbing-enquiry,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Advice route is the single owner for explaining location, fixture, timing and photo details.",DIRECTIONAL
C26,toilet_decision_advice,"how to tell if toilet is blocked | blocked toilet or broken flush",/plumbing-advice/blocked-toilet-or-broken-flush,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Keep one comparison page; service/problem links make the next step clear without cloning symptom content.",DIRECTIONAL
C27,cost_research,"plumber cost London | plumber hourly rate London | plumber call out charge | leak repair cost | emergency plumber cost",none,RESEARCH_ONLY,DO_NOT_BUILD,"Public pricing is not authorised and evidence is not Kensington-specific. Preserve as internal research only.",VERIFIED
C28,area_south_kensington,"plumber South Kensington | emergency plumber South Kensington | leak repair South Kensington",none,RESEARCH_ONLY,DO_NOT_BUILD,"SERP distinction does not authorise coverage. Do not publish until owner confirms scope and truthful value can be added.",DIRECTIONAL
C29,area_west_kensington,"plumber West Kensington | blocked toilet West Kensington | tap repair West Kensington",none,RESEARCH_ONLY,DO_NOT_BUILD,"West Kensington/W14 is not confirmed scope; do not use a doorway page or exact-match location copy.",DIRECTIONAL
C30,area_north_kensington,"plumber North Kensington | shower repair North Kensington",none,RESEARCH_ONLY,DO_NOT_BUILD,"North Kensington is unconfirmed and overlaps generic Kensington strongly.",DIRECTIONAL
C31,area_notting_hill,"plumber Notting Hill | leak repair Notting Hill",none,RESEARCH_ONLY,DO_NOT_BUILD,"Notting Hill has distinct competing pages but no confirmed coverage for this site.",DIRECTIONAL
C32,area_holland_park,"plumber Holland Park | bathroom plumber Holland Park",none,RESEARCH_ONLY,DO_NOT_BUILD,"No separate coverage claim or page until owner confirmation.",DIRECTIONAL
C33,area_earls_court,"plumber Earl's Court | blocked toilet Earl's Court",none,RESEARCH_ONLY,DO_NOT_BUILD,"No separate coverage claim or page until owner confirmation.",DIRECTIONAL
